date,dominant_contract,dominant_close,dominant_oi,rolled,roll_id
2001-11-15,H2002,35.77,23911.0,False,42
2001-11-16,H2002,36.25,25114.0,False,42
2001-11-19,H2002,35.98,26134.0,False,42
2001-11-20,H2002,35.85,28110.0,False,42
2001-11-21,H2002,36.13,28110.0,False,42
2001-11-23,H2002,36.13,30158.0,False,42
2001-11-26,H2002,36.3,30350.0,False,42
2001-11-27,H2002,37.12,30204.0,False,42
2001-11-28,H2002,37.78,31184.0,False,42
2001-11-29,H2002,38.96,32188.0,False,42
2001-11-30,H2002,39.27,32211.0,False,42
2001-12-03,H2002,37.74,31550.0,False,42
2001-12-04,H2002,37.06,31047.0,False,42
2001-12-05,H2002,36.78,30579.0,False,42
2001-12-06,H2002,37.93,31361.0,False,42
2001-12-07,H2002,37.34,31184.0,False,42
2001-12-10,H2002,36.34,30133.0,False,42
2001-12-11,H2002,37.11,29734.0,False,42
2001-12-12,H2002,36.11,29329.0,False,42
2001-12-13,H2002,35.15,29301.0,False,42
2001-12-14,H2002,37.3,29934.0,False,42
2001-12-17,H2002,37.45,30265.0,False,42
2001-12-18,H2002,36.81,29750.0,False,42
2001-12-19,H2002,36.45,29795.0,False,42
2001-12-20,H2002,35.91,30083.0,False,42
2001-12-21,H2002,36.23,30083.0,False,42
2001-12-24,H2002,36.23,29970.0,False,42
2001-12-26,H2002,36.5,29890.0,False,42
2001-12-27,H2002,36.33,29794.0,False,42
2001-12-28,H2002,35.59,30013.0,False,42
2001-12-31,H2002,35.59,29979.0,False,42
2002-01-02,H2002,36.46,30033.0,False,42
2002-01-03,H2002,36.14,30058.0,False,42
2002-01-04,H2002,36.62,29933.0,False,42
2002-01-07,H2002,37.56,29932.0,False,42
2002-01-08,H2002,38.45,30186.0,False,42
2002-01-09,H2002,37.73,30152.0,False,42
2002-01-10,H2002,37.4,29768.0,False,42
2002-01-11,H2002,37.04,29452.0,False,42
2002-01-14,H2002,36.65,29378.0,False,42
2002-01-15,H2002,37.34,29252.0,False,42
2002-01-16,H2002,37.68,29005.0,False,42
2002-01-17,H2002,37.96,28946.0,False,42
2002-01-18,H2002,37.33,29417.0,False,42
2002-01-22,H2002,36.78,29325.0,False,42
2002-01-23,H2002,36.73,29472.0,False,42
2002-01-24,H2002,36.09,30234.0,False,42
2002-01-25,H2002,36.68,29180.0,False,42
2002-01-28,H2002,36.21,28734.0,False,42
2002-01-29,H2002,36.54,27751.0,False,42
2002-01-30,H2002,35.52,28086.0,False,42
2002-01-31,H2002,35.48,26986.0,False,42
2002-02-01,H2002,37.45,24582.0,False,42
2002-02-04,H2002,37.83,23401.0,False,42
2002-02-05,H2002,37.3,23201.0,False,42
2002-02-06,H2002,37.37,22339.0,False,42
2002-02-07,H2002,38.14,21631.0,False,42
2002-02-08,H2002,38.26,21862.0,False,42
2002-02-11,K2002,39.05,19344.0,True,43
2002-02-12,K2002,39.91,20542.0,False,43
2002-02-13,K2002,37.31,22751.0,False,43
2002-02-14,K2002,37.81,22692.0,False,43
2002-02-15,K2002,37.08,23636.0,False,43
2002-02-19,K2002,35.61,25420.0,False,43
2002-02-20,K2002,35.32,26822.0,False,43
2002-02-21,K2002,35.05,27338.0,False,43
2002-02-22,K2002,35.01,27468.0,False,43
2002-02-25,K2002,35.32,27470.0,False,43
2002-02-26,K2002,35.92,27496.0,False,43
2002-02-27,K2002,36.1,27455.0,False,43
2002-02-28,K2002,35.88,27487.0,False,43
2002-03-01,K2002,36.06,27298.0,False,43
2002-03-04,K2002,35.9,27057.0,False,43
2002-03-05,K2002,36.14,26846.0,False,43
2002-03-06,K2002,36.48,27017.0,False,43
2002-03-07,K2002,38.45,25626.0,False,43
2002-03-08,K2002,37.83,24229.0,False,43
2002-03-11,K2002,38.12,24316.0,False,43
2002-03-12,K2002,37.55,24532.0,False,43
2002-03-13,K2002,38.3,24263.0,False,43
2002-03-14,K2002,38.81,24296.0,False,43
2002-03-15,K2002,38.7,24561.0,False,43
2002-03-18,K2002,38.69,24279.0,False,43
2002-03-19,K2002,38.76,23930.0,False,43
2002-03-20,K2002,38.95,23947.0,False,43
2002-03-21,K2002,39.81,24355.0,False,43
2002-03-22,K2002,39.2,26111.0,False,43
2002-03-25,K2002,38.71,25534.0,False,43
2002-03-26,K2002,38.16,24299.0,False,43
2002-03-27,K2002,39.39,24021.0,False,43
2002-03-28,K2002,38.16,22403.0,False,43
2002-04-01,K2002,38.41,21819.0,False,43
2002-04-02,N2002,40.26,21607.0,True,44
2002-04-03,N2002,39.82,22025.0,False,44
2002-04-04,N2002,39.29,22105.0,False,44
2002-04-05,N2002,39.35,22499.0,False,44
2002-04-08,N2002,38.78,23382.0,False,44
2002-04-09,N2002,38.46,24229.0,False,44
2002-04-10,N2002,39.88,25543.0,False,44
2002-04-11,N2002,39.1,27033.0,False,44
2002-04-12,N2002,38.62,28110.0,False,44
2002-04-15,N2002,38.12,28700.0,False,44
2002-04-16,N2002,38.23,29834.0,False,44
2002-04-17,N2002,37.82,31116.0,False,44
2002-04-18,N2002,36.83,31910.0,False,44
2002-04-19,N2002,35.99,34959.0,False,44
2002-04-22,N2002,36.08,36262.0,False,44
2002-04-23,N2002,36.26,37996.0,False,44
2002-04-24,N2002,37.17,38245.0,False,44
2002-04-25,N2002,36.75,38323.0,False,44
2002-04-26,N2002,35.27,38636.0,False,44
2002-04-29,N2002,34.59,38896.0,False,44
2002-04-30,N2002,34.97,38968.0,False,44
2002-05-01,N2002,35.12,38501.0,False,44
2002-05-02,N2002,33.76,39269.0,False,44
2002-05-03,N2002,33.52,39247.0,False,44
2002-05-06,N2002,33.65,39314.0,False,44
2002-05-07,N2002,33.11,39212.0,False,44
2002-05-08,N2002,33.7,39370.0,False,44
2002-05-09,N2002,33.95,38839.0,False,44
2002-05-10,N2002,35.21,37425.0,False,44
2002-05-13,N2002,34.71,37172.0,False,44
2002-05-14,N2002,35.17,37030.0,False,44
2002-05-15,N2002,36.11,36093.0,False,44
2002-05-16,N2002,35.48,35629.0,False,44
2002-05-17,N2002,35.89,35512.0,False,44
2002-05-20,N2002,35.74,35614.0,False,44
2002-05-21,N2002,36.45,34692.0,False,44
2002-05-22,N2002,37.15,33725.0,False,44
2002-05-23,N2002,37.3,31480.0,False,44
2002-05-24,N2002,36.94,30531.0,False,44
2002-05-28,N2002,38.25,28652.0,False,44
2002-05-29,N2002,38.15,27537.0,False,44
2002-05-30,N2002,38.24,26920.0,False,44
2002-05-31,Z2002,43.4,28606.0,True,45
2002-06-03,Z2002,43.34,28826.0,False,45
2002-06-04,Z2002,42.81,29002.0,False,45
2002-06-05,Z2002,42.9,29381.0,False,45
2002-06-06,Z2002,43.01,29943.0,False,45
2002-06-07,Z2002,43.24,30626.0,False,45
2002-06-10,Z2002,42.9,31721.0,False,45
2002-06-11,Z2002,43.3,32640.0,False,45
2002-06-12,Z2002,44.23,35153.0,False,45
2002-06-13,Z2002,43.8,36947.0,False,45
2002-06-14,Z2002,43.18,37405.0,False,45
2002-06-17,Z2002,43.99,39052.0,False,45
2002-06-18,Z2002,43.75,40630.0,False,45
2002-06-19,Z2002,44.24,41665.0,False,45
2002-06-20,Z2002,47.24,45272.0,False,45
2002-06-21,Z2002,47.1,50038.0,False,45
2002-06-24,Z2002,47.39,51153.0,False,45
2002-06-25,Z2002,47.78,53810.0,False,45
2002-06-26,Z2002,47.7,54307.0,False,45
2002-06-27,Z2002,46.83,55219.0,False,45
2002-06-28,Z2002,49.53,55631.0,False,45
2002-07-01,Z2002,47.71,56661.0,False,45
2002-07-02,Z2002,48.15,57966.0,False,45
2002-07-03,Z2002,48.89,57966.0,False,45
2002-07-05,Z2002,48.89,57302.0,False,45
2002-07-08,Z2002,47.4,57181.0,False,45
2002-07-09,Z2002,48.03,57186.0,False,45
2002-07-10,Z2002,49.58,58567.0,False,45
2002-07-11,Z2002,47.75,58709.0,False,45
2002-07-12,Z2002,46.3,57371.0,False,45
2002-07-15,Z2002,44.9,53145.0,False,45
2002-07-16,Z2002,44.94,53366.0,False,45
2002-07-17,Z2002,46.54,53506.0,False,45
2002-07-18,Z2002,48.54,53764.0,False,45
2002-07-19,Z2002,48.74,55308.0,False,45
2002-07-22,Z2002,49.08,55771.0,False,45
2002-07-23,Z2002,47.92,55170.0,False,45
2002-07-24,Z2002,47.54,55085.0,False,45
2002-07-25,Z2002,47.55,55521.0,False,45
2002-07-26,Z2002,47.43,55382.0,False,45
2002-07-29,Z2002,46.75,55157.0,False,45
2002-07-30,Z2002,48.6,55435.0,False,45
2002-07-31,Z2002,48.49,55751.0,False,45
2002-08-01,Z2002,48.89,56248.0,False,45
2002-08-02,Z2002,48.18,56526.0,False,45
2002-08-05,Z2002,45.79,54187.0,False,45
2002-08-06,Z2002,46.14,53413.0,False,45
2002-08-07,Z2002,46.48,53252.0,False,45
2002-08-08,Z2002,46.11,52958.0,False,45
2002-08-09,Z2002,45.63,52213.0,False,45
2002-08-12,Z2002,46.92,53132.0,False,45
2002-08-13,Z2002,46.42,52701.0,False,45
2002-08-14,Z2002,47.02,52847.0,False,45
2002-08-15,Z2002,45.78,52064.0,False,45
2002-08-16,Z2002,45.64,52308.0,False,45
2002-08-19,Z2002,46.68,52030.0,False,45
2002-08-20,Z2002,45.29,51246.0,False,45
2002-08-21,Z2002,44.44,51280.0,False,45
2002-08-22,Z2002,45.47,49661.0,False,45
2002-08-23,Z2002,45.25,49550.0,False,45
2002-08-26,Z2002,44.83,49492.0,False,45
2002-08-27,Z2002,45.06,49012.0,False,45
2002-08-28,Z2002,46.9,49224.0,False,45
2002-08-29,Z2002,46.78,48857.0,False,45
2002-08-30,Z2002,46.47,48752.0,False,45
2002-09-03,Z2002,45.74,49069.0,False,45
2002-09-04,Z2002,45.27,48935.0,False,45
2002-09-05,Z2002,45.64,48977.0,False,45
2002-09-06,Z2002,45.12,48882.0,False,45
2002-09-09,Z2002,45.24,48207.0,False,45
2002-09-10,Z2002,45.21,47892.0,False,45
2002-09-11,Z2002,45.01,47739.0,False,45
2002-09-12,Z2002,43.49,46720.0,False,45
2002-09-13,Z2002,43.17,46610.0,False,45
2002-09-16,Z2002,42.96,45968.0,False,45
2002-09-17,Z2002,43.14,46057.0,False,45
2002-09-18,Z2002,43.9,45775.0,False,45
2002-09-19,Z2002,43.98,46115.0,False,45
2002-09-20,Z2002,44.1,45996.0,False,45
2002-09-23,Z2002,43.73,46305.0,False,45
2002-09-24,Z2002,44.52,46446.0,False,45
2002-09-25,Z2002,43.79,46632.0,False,45
